customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
5375,0,-0.43991649313097614,1,0,-1.2774445836787656,0,1,0,0,2,0,0,0,0,0,1,2,-1.1603229160349193,-0.9942419353101233,0
3962,1,-0.43991649313097614,0,0,0.06632741908223598,1,0,0,2,0,2,0,0,0,1,0,3,-0.2596289419448806,-0.17324412574959375,0
2564,1,-0.43991649313097614,0,0,-1.2367242199587352,1,0,0,2,2,0,0,0,0,0,1,3,-0.3626603559551803,-0.9596740712020441,1
5535,1,-0.43991649313097614,0,0,0.5142514200025698,0,1,0,2,0,2,2,0,0,1,0,0,-0.7465354629935549,-0.19476626336477718,0
6511,0,-0.43991649313097614,0,0,-1.2367242199587352,1,0,1,0,0,0,0,0,0,0,1,2,0.19736523310080326,-0.9404697022531111,1
6551,0,-0.43991649313097614,0,0,-0.9924020376385531,1,2,1,0,0,2,0,2,2,0,1,2,1.1595456961969886,-0.6451859741727949,1
1002,1,-0.43991649313097614,0,1,-0.4223169455581282,1,2,1,0,2,0,0,2,0,0,1,1,0.8089065291619363,-0.14679948896704018,0
4770,0,-0.43991649313097614,0,0,-0.9109613101984924,0,1,0,2,0,0,0,0,0,0,0,3,-1.1636465100352518,-0.8741373704237511,0
5604,0,-0.43991649313097614,1,0,-0.1779947632379461,1,2,1,0,0,2,2,2,2,0,1,2,1.330710787214099,0.3373492744317471,1
4534,1,-0.43991649313097614,0,1,1.2064976032430856,1,0,0,2,2,0,0,0,0,1,0,0,-0.28621769394753876,0.5324391741681479,0
6871,1,-0.43991649313097614,1,1,-0.7888002190384014,1,0,0,2,0,0,0,0,0,0,1,3,-0.4922805219681379,-0.7480728289670203,0
5288,1,-0.43991649313097614,0,0,-0.6666391278783103,1,0,2,1,1,1,1,1,1,2,0,1,-1.5225946620711341,-0.8631445247495343,0
5751,1,-0.43991649313097614,1,0,1.0436161483629645,1,2,1,0,0,2,0,2,2,1,0,1,1.182810854199314,1.5006704790038297,0
174,1,-0.43991649313097614,0,0,0.6771328748826912,1,2,1,0,2,2,0,2,2,0,1,0,1.2941512532104444,1.2160043388136705,1
3615,1,-0.43991649313097614,0,0,-0.30015585439803716,1,0,1,2,0,2,2,2,2,0,1,2,1.3539759452164248,0.1784165658888543,0
2556,0,-0.43991649313097614,1,1,1.4915401492832983,1,2,1,2,2,2,2,2,2,2,0,1,1.611554480242174,2.478128710529918,0
5820,0,-0.43991649313097614,0,0,0.7992939660427822,1,0,2,1,1,1,1,1,1,1,0,3,-1.4660935640654862,-0.5558083996047153,0
7019,1,-0.43991649313097614,0,1,1.5729808767233588,1,2,1,2,0,2,0,2,2,2,0,0,1.393859073220412,2.251693748830891,0
2937,0,-0.43991649313097614,1,1,-0.9109613101984924,1,0,0,0,0,2,2,0,0,0,0,1,-0.31779183695069496,-0.774164281952812,1
2928,0,-0.43991649313097614,0,0,-0.46303730927815856,1,0,1,0,2,2,0,0,2,0,1,2,0.8404806721650927,-0.18498748699192968,0
6207,1,2.273158691738958,0,0,-1.2774445836787656,0,1,0,0,0,2,0,0,2,0,1,2,-0.8346107040023594,-0.9899154337997889,1
1141,1,-0.43991649313097614,1,0,-0.8295205827584317,1,0,2,1,1,1,1,1,1,1,0,0,-1.4943441130683104,-0.9181308271079157,0
723,1,-0.43991649313097614,0,0,-1.2774445836787656,1,0,2,1,1,1,1,1,1,0,0,3,-1.4827115340671475,-0.9985242888458623,1
2541,0,-0.43991649313097614,1,0,1.0436161483629645,1,2,0,0,2,0,2,0,0,2,1,1,-0.1615829189350795,0.5400105518112329,0
4479,1,-0.43991649313097614,1,1,0.6771328748826912,1,0,0,2,2,0,2,0,0,0,0,1,-0.17155370093607614,0.30390718367584674,0
4873,0,-0.43991649313097614,0,0,-0.0965540357978854,1,0,0,2,2,0,0,0,0,0,1,0,-0.31446824295036285,-0.3316912065719389,0
4584,1,-0.43991649313097614,1,1,0.5956921474426305,1,2,1,0,2,0,0,2,2,0,1,2,1.1495749141959914,1.0892334297634156,1
6119,1,-0.43991649313097614,1,1,-1.2774445836787656,0,1,0,0,2,0,0,0,0,0,0,2,-1.1486903370337564,-0.9940874173990399,1
3733,1,-0.43991649313097614,1,0,1.6137012404433893,1,2,0,2,2,2,2,2,2,2,1,1,0.8471278601657574,1.804563062130219,0
6199,0,-0.43991649313097614,0,1,-0.62591876415828,1,0,0,0,0,0,0,2,2,0,1,3,-0.0020504069191315333,-0.5248385954261489,1
2700,0,2.273158691738958,1,0,1.5729808767233588,1,2,1,2,2,2,2,0,0,2,1,1,1.0498670941860242,1.9800512611463297,0
3481,1,2.273158691738958,1,0,-1.2367242199587352,1,0,1,0,0,2,0,2,2,0,1,1,1.0216165451832002,-0.9272253098745368,0
4844,0,-0.43991649313097614,1,1,-0.21871512695797646,1,0,0,2,2,2,2,0,0,1,0,3,0.046141706085686136,-0.17988839592617856,0
